model,accuracy,loss
Simple LSTM,0.9925373196601868,0.03247047960758209
Bidirectional LSTM,0.9992203116416931,0.0046759601682424545
Stacked LSTM,0.9977723360061646,0.010907047428190708
GRU,0.9986634254455566,0.005436465609818697
